word,count,corpus,label,Zdenka_old_hand_label
αὐξάνω,256,christian_0_300,-1.0,
ἐπάγω,256,christian_0_300,-1.0,
ἐάω,255,christian_0_300,-1.0,
ῥάβδος,255,christian_0_300,-1.0,
ἰσχύς,255,christian_0_300,-1.0,
πλείων,255,christian_0_300,-1,
ἐπιτελέω,254,christian_0_300,-1.0,
ἀποστρέφω,253,christian_0_300,1,
μέγεθος,253,christian_0_300,-1.0,
παράδειγμα,253,christian_0_300,-1.0,
ὑψηλός,252,christian_0_300,-1.0,
βραχύς,252,christian_0_300,-1.0,
θρόνος,251,christian_0_300,-1.0,
μισθός,251,christian_0_300,-1.0,
θύρα,250,christian_0_300,-1.0,
σύνειμι,250,christian_0_300,-1.0,
δεινός,250,christian_0_300,7,
εὐχαριστέω,249,christian_0_300,-1.0,
ὅσιος,249,christian_0_300,-1.0,
χρήσιμος,249,christian_0_300,-1.0,
μυρίος,249,christian_0_300,-1.0,
διάκονος,248,christian_0_300,-1.0,
κράζω,248,christian_0_300,-1.0,
μῦθος,248,christian_0_300,-1.0,
